,suburb,sold_year,sold_month,count,avg_bedroom,avg_bathroom,avg_car_space,avg_land_size,avg_building_size,avg_built_year,avg_price,perth,east_perth,west_perth,northbridge,crawley,nedlands
40,Crawley,2017,1,2,3.0,1.5,2.0,232.0,230.5,1985.0,1995000.0,0,0,0,0,1,0
41,Crawley,2017,2,5,2.8,1.8,1.8,166.4,141.4,1980.0,926000.0,0,0,0,0,1,0
42,Crawley,2017,3,6,2.0,1.3333333333333333,1.1666666666666667,119.66666666666667,91.66666666666667,1989.8333333333333,705833.3333333334,0,0,0,0,1,0
43,Crawley,2017,4,3,2.6666666666666665,2.0,1.6666666666666667,224.66666666666666,157.0,1977.3333333333333,1113333.3333333333,0,0,0,0,1,0
44,Crawley,2017,5,5,2.4,1.0,1.0,81.0,84.2,1973.0,497000.0,0,0,0,0,1,0
45,Crawley,2017,6,2,2.5,2.0,2.0,182.5,135.5,1983.5,1112500.0,0,0,0,0,1,0
46,Crawley,2017,7,1,1.0,1.0,1.0,48.0,48.0,1964.0,253000.0,0,0,0,0,1,0
47,Crawley,2017,8,2,2.5,1.5,1.5,128.0,124.5,1979.5,827500.0,0,0,0,0,1,0
48,Crawley,2017,9,1,3.0,3.0,2.0,284.0,181.0,2006.0,2050000.0,0,0,0,0,1,0
49,Crawley,2017,10,3,1.6666666666666667,1.3333333333333333,1.3333333333333333,63.333333333333336,64.66666666666667,1972.0,470333.3333333333,0,0,0,0,1,0
50,Crawley,2017,11,5,1.8,1.6,1.4,118.6,101.0,1957.8,626900.0,0,0,0,0,1,0
51,Crawley,2017,12,3,2.3333333333333335,2.0,1.3333333333333333,142.0,116.33333333333333,1989.0,950000.0,0,0,0,0,1,0
52,Crawley,2018,1,4,1.5,1.0,1.25,81.25,85.0,1970.25,635625.0,0,0,0,0,1,0
53,Crawley,2018,2,2,2.5,1.5,1.5,121.5,120.0,1970.5,785000.0,0,0,0,0,1,0
54,Crawley,2018,3,2,2.5,2.0,1.5,139.5,111.0,1992.0,747500.0,0,0,0,0,1,0
55,Crawley,2018,6,1,3.0,1.0,1.0,87.0,91.0,1970.0,482000.0,0,0,0,0,1,0
56,Crawley,2018,7,3,2.3333333333333335,1.6666666666666667,1.6666666666666667,106.0,103.66666666666667,1979.0,642366.6666666666,0,0,0,0,1,0
57,Crawley,2018,8,1,1.0,1.0,1.0,35.0,35.0,1964.0,215000.0,0,0,0,0,1,0
58,Crawley,2018,9,1,4.0,3.0,3.0,210.0,197.0,2012.0,2215000.0,0,0,0,0,1,0
59,Crawley,2018,10,1,3.0,2.0,2.0,175.0,175.0,1983.0,1470000.0,0,0,0,0,1,0
60,Crawley,2018,11,3,2.3333333333333335,1.3333333333333333,1.6666666666666667,155.33333333333334,131.0,1963.6666666666667,653333.3333333334,0,0,0,0,1,0
61,Crawley,2019,1,1,3.0,2.0,2.0,1012.0,164.0,1979.0,800000.0,0,0,0,0,1,0
62,Crawley,2019,4,1,2.0,1.0,1.0,109.0,90.0,1969.0,345000.0,0,0,0,0,1,0
63,Crawley,2019,6,3,2.0,1.3333333333333333,2.3333333333333335,280.0,260.0,1986.0,1213333.3333333333,0,0,0,0,1,0
64,Crawley,2019,7,1,3.0,2.0,2.0,224.0,224.0,1982.0,1225000.0,0,0,0,0,1,0
65,Crawley,2019,8,1,3.0,2.0,2.0,287.0,187.0,1999.0,1550000.0,0,0,0,0,1,0
66,Crawley,2019,9,1,3.0,2.0,2.0,215.0,212.0,1982.0,1040000.0,0,0,0,0,1,0
67,Crawley,2019,10,1,3.0,2.0,2.0,190.0,190.0,1972.0,1290000.0,0,0,0,0,1,0
68,Crawley,2019,11,2,3.0,2.0,2.0,190.0,190.0,1972.0,1037500.0,0,0,0,0,1,0
69,Crawley,2019,12,1,2.0,1.0,2.0,104.0,77.0,1980.0,525000.0,0,0,0,0,1,0
70,Crawley,2020,1,1,3.0,2.0,2.0,215.0,212.0,1982.0,1260000.0,0,0,0,0,1,0
71,Crawley,2020,2,2,2.0,1.0,1.5,84.5,86.0,1971.5,445000.0,0,0,0,0,1,0
72,Crawley,2020,4,3,2.0,1.0,0.6666666666666666,72.33333333333333,73.66666666666667,1970.3333333333333,346333.3333333333,0,0,0,0,1,0
73,Crawley,2020,6,2,1.0,1.0,1.0,96.0,73.0,2001.5,467500.0,0,0,0,0,1,0
74,Crawley,2020,8,1,1.0,1.0,1.0,41.0,41.0,1963.0,270000.0,0,0,0,0,1,0
75,Crawley,2020,9,1,1.0,1.0,1.0,41.0,35.0,1964.0,270000.0,0,0,0,0,1,0
76,Crawley,2020,10,1,3.0,2.0,2.0,123.0,121.0,1979.0,650000.0,0,0,0,0,1,0
