,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
63,23B Bulimba Road,"$1,058,000",Oct 2020,,,,,519,Murray Peter,,,180
64,37 Kinninmont Avenue,"$1,750,000",Oct 2020,House,4,2,,,,,,
65,2/35 Esplanade,"$1,600,000",Oct 2020,Apartment,3,3,2,222,,"$1,350pw",Feb 2021,140
66,48 Doonan Road,"$1,650,000",Oct 2020,House,3,2,3,997,,$575pw,Jul 2019,242
67,1/3 VIncent Street,"$510,000",Oct 2020,,,,,"3,499",,$385pw,Oct 2009,
68,19/28 Stirling Highway,"$515,000",Sep 2020,,,,,90,,$400pw,Jul 2016,
69,29 Portland Street,"$1,635,000",Sep 2020,House,3,1,2,907,,$750pw,Feb 2019,181
70,81 Vincent Street,"$1,730,000",Aug 2020,House,4,2,2,"1,112",,,,
71,2/26 Broome Street,"$430,000",Aug 2020,,,,,82,,,,82
72,2/63 Stirling Highway,"$430,000",Aug 2020,,,,,"1,309",,$350pw,Sep 2018,70
73,40 Boronia Avenue,"$1,820,000",Aug 2020,House,5,3,6,"1,013",,"$1,200pw",Oct 2020,254
74,20 Webster Street,"$1,900,000",Aug 2020,House,3,1,2,"1,012",,,,
75,22/35 Esplanade,"$2,400,000",Jul 2020,,,,,240,,,,179
76,70 Viewway,"$1,635,000",Jul 2020,House,3,2,2,911,,$960pw,Sep 2020,
77,39 Tyrell Street,"$1,900,000",Jul 2020,House,4,3,,"1,013",,,,
78,10/26 Broome Street,"$520,000",Jul 2020,Townhouse,3,1,2,110,,$440pw,May 2019,110
79,51 Florence Road,"$1,625,000",Jul 2020,House,4,2,2,"1,012",,$950pw,Jul 2020,215
80,22 Ord Street,"$1,722,500",Jun 2020,House,3,1,2,697,,"$1,300pw",May 2020,126
81,70 Vincent Street,"$2,720,000",Jun 2020,House,3,,,"1,137",,,,427
82,105/30 The Avenue,"$920,000",Jun 2020,Apartment,2,2,2,"3,459",Cheryl Stewart,$850pw,Mar 2020,121
83,22 Kingston Street,"$2,150,000",Jun 2020,House,4,2,4,"1,277",,"$1,800pw",Mar 2020,373
84,16 Viewway,"$1,500,000",Jun 2020,House,4,2,2,883,,$625pw,Apr 2020,164
85,3/29 The Avenue,"$875,000",May 2020,,,,,158,,,,131
86,20 Kingsway,"$1,800,000",May 2020,House,4,1,1,883,,$850pw,Aug 2014,168
87,47 Bulimba Road,"$2,100,000",May 2020,House,4,2,6,923,,"$1,350pw",Jul 2015,249
88,10/28 Stirling Highway,"$415,000",May 2020,,,,,101,,,,101
89,104 Tyrell Street,"$1,700,000",May 2020,House,4,2,2,834,,,,
90,55 Kingsway,"$1,975,000",May 2020,House,4,2,2,878,,,,262
91,66 Louise Street,"$2,100,000",Apr 2020,House,4,3,2,"1,005",,"$2,000pw",Feb 2011,377
92,62 Williams Road,"$1,205,000",Apr 2020,House,4,3,1,456,,$800pw,Nov 2017,213
93,24/35 Esplanade,"$3,250,000",Apr 2020,,,,,265,,"$1,900pw",Apr 2019,184
94,18 Webster Street,"$1,970,000",Apr 2020,House,4,3,2,"1,012",,,,
95,52 The Avenue,"$2,600,000",Apr 2020,House,4,3,2,684,,"$2,300pw",Dec 2017,
96,97 Smyth Road,"$1,600,000",Apr 2020,House,4,2,,"1,023",,$650pw,Feb 2021,
97,6 Baird Avenue,"$2,300,000",Mar 2020,House,3,1,1,"1,013",,,,
98,2/24 Tareena Street,"$600,000",Mar 2020,,,,,725,,$500pw,Nov 2010,116
99,67 Dalkeith Road,"$1,615,000",Mar 2020,House,4,2,2,"1,012",,,,213
100,6 Bedford Street,"$1,520,000",Mar 2020,House,3,1,2,"1,012",Amanda Gray,$520pw,Jan 2020,
101,27 Edward Street,"$2,350,000",Mar 2020,House,3,1,,963,,,,408
102,22 Edward Street,"$1,720,000",Feb 2020,House,4,2,4,810,,,,
103,21 Viewway,"$1,775,000",Feb 2020,House,4,2,2,880,,,,
104,93 Stanley Street,"$2,775,000",Feb 2020,House,3,1,2,"1,012",,,,252
105,30 DOONAN ROAD,"$2,000,000",Feb 2020,House,4,2,2,994,,"$1,300pw",May 2019,287
106,89 Clifton Street,"$1,050,000",Feb 2020,House,3,1,1,468,,,,
107,82 Webster Street,"$2,700,000",Feb 2020,House,4,2,2,"1,012",,"$1,150pw",Nov 2008,356
108,12 Napier Street,"$1,200,000",Feb 2020,House,4,2,2,696,,,,
109,24 Clark Street,"$1,820,000",Feb 2020,House,2,1,,911,,$400pw,Dec 2019,
110,5/111 Stirling Highway,"$460,000",Feb 2020,,,,,"2,033",,$350pw,Nov 2016,72
111,1/26 Broome Street,"$490,000",Feb 2020,,,,,,,,,
112,32 Kinninmont Avenue,"$2,350,000",Jan 2020,House,3,1,2,"1,012",,,,315
113,82 Bruce Street,"$1,325,000",Jan 2020,House,3,2,2,886,,,,145
114,44 Bulimba Road,"$2,225,000",Jan 2020,House,3,2,2,923,,,,
115,27 Megalong Street,"$1,050,000",Jan 2020,House,3,1,4,490,,$550pw,Jan 2020,
116,2B Bulimba Road,"$830,000",Jan 2020,House,,,,461,,,,
117,1 Betty Street,"$1,420,000",Jan 2020,House,3,1,1,999,,,,
118,26 Waroonga Road,"$2,300,000",Jan 2020,House,6,4,2,923,,,,245
119,145 Dalkeith Road,"$1,990,050",Jan 2020,House,4,2,,"1,154",,,,319
120,43 Mountjoy Road,"$1,650,000",Jan 2020,House,4,3,5,"1,012",,,,
121,96 Smyth Road,"$1,690,000",Dec 2019,House,3,3,2,908,,"$1,550pw",Feb 2018,262
122,20 Cooper Street,"$1,620,000",Dec 2019,House,3,1,2,911,,$700pw,Nov 2020,
123,58 The Avenue,"$4,500,000",Dec 2019,House,2,1,,"1,044",,,,
124,92 Smyth Road,"$1,700,000",Dec 2019,House,3,1,,908,,,,
125,100 Smyth Road,"$1,495,000",Dec 2019,House,3,2,1,908,,,,204
126,46 Mountjoy Road,"$2,020,000",Dec 2019,House,4,3,2,"1,012",,,,
127,45 Napier Street,"$1,110,000",Dec 2019,House,4,2,2,696,,,,
128,5/63 Stirling Highway,"$450,000",Nov 2019,,,,,"1,308",,$375pw,Jul 2020,84
129,6/192 Hampden Road,"$535,000",Nov 2019,Townhouse,3,2,2,930,,$595pw,May 2010,118
130,1/36 Megalong Street,"$680,000",Nov 2019,,,,,"3,016",,$700pw,Jun 2013,
131,11 Leura Street,"$1,070,000",Nov 2019,House,3,2,3,455,,,,
132,1 Elizabeth Street,"$1,315,000",Nov 2019,,,,,331,,,,190
133,74 The Avenue,"$4,950,000",Oct 2019,House,5,6,4,"1,565",,,,
134,49 Tyrell Street,"$24,500,000",Oct 2019,House,6,5,4,"1,012",,,,394
135,96 Kingsway,"$2,240,000",Oct 2019,House,2,3,2,722,,,,333
136,98 Smyth Road,"$1,655,000",Oct 2019,House,3,2,4,908,,,,
137,39 Robinson Street,"$1,105,000",Sep 2019,House,4,1,,696,,,,
138,4/53 Stirling Highway,"$415,000",Sep 2019,Townhouse,2,1,1,84,Shellabears - Cottesloe,,,84
139,20 Hillway,"$1,750,000",Sep 2019,House,3,2,2,"1,012",,$875pw,Sep 2019,304
140,5/1 Park Road,"$715,000",Sep 2019,Townhouse,3,2,2,"1,754",Shellabears - Cottesloe,$650pw,Jul 2012,119
141,18 Doonan Road,"$2,000,000",Sep 2019,House,3,3,2,948,,,,
142,40 Dalkeith Road,"$1,635,000",Aug 2019,House,2,1,2,"1,013",,,,
143,20 Lupin Hill Grove,"$1,600,000",Aug 2019,House,4,3,2,232,,,,340
144,12/3 Vincent Street,"$440,000",Aug 2019,,,,,"3,510",Carmen Tutor,,,68
145,19 Louise Street,"$2,400,000",Aug 2019,House,5,2,2,"1,015",,$850pw,Jun 2020,
146,32 Louise Street,"$1,660,000",Aug 2019,House,4,2,1,"2,024",,"$1,000pw",Nov 2014,
147,25 Louise Street,"$2,160,000",Aug 2019,House,4,2,2,"1,055",,,,199
148,2C Kanimbla Road,"$576,000",Jul 2019,Townhouse,3,1,2,116,,$560pw,Jul 2019,
149,8/7 Taylor Road,"$441,000",Jul 2019,Apartment,2,1,1,"2,751",Dan Hegney Property Group,$460pw,Feb 2013,
150,20 Dalkeith Road,"$1,400,000",Jul 2019,House,3,2,2,"1,037",Gordon Davies Real Estate - DALKEITH,,,138
151,42 Mountjoy Road,"$1,700,000",Jul 2019,House,4,3,4,"1,012",,,,
152,2 Louise Street,"$1,145,000",Jul 2019,House,3,2,2,340,Airey Real Estate,,,200
153,91 Melvista Avenue,"$1,730,000",Jul 2019,House,3,2,2,"1,000",,,,
154,33 Mountjoy Road,"$1,735,000",Jul 2019,House,4,2,2,"1,012",,,,
155,44 Hillway,"$2,150,000",Jul 2019,House,3,2,3,981,,"$1,750pw",May 2019,
156,27 Clark Street,"$735,000",Jul 2019,,,,,118,Kempton Azzopardi - Nedlands,$350pw,Aug 2017,118
157,22 Vincent Street,"$1,900,000",Jun 2019,House,3,1,,,,,,
158,21 Vincent Street,"$2,060,000",Jun 2019,House,3,2,,997,,,,211
159,103 Smyth Road,"$1,025,000",Jun 2019,House,3,2,2,235,Burswood Peninsula Real Estate - BURSWOOD,,,
160,50 Ord Street,"$1,100,000",Jun 2019,House,2,1,,696,,,,
161,29 Vincent Street,"$1,875,000",Jun 2019,House,4,3,2,999,GRAY & CO. REALTY - Dalkeith,"$1,450pw",May 2019,217
162,37 Hillway,"$1,735,000",Jun 2019,House,5,2,,909,,,,
163,3/32 Martin Avenue,"$595,000",Jun 2019,House,3,2,1,"1,013",,$550pw,Feb 2019,110
164,7 Burwood Street,"$1,700,000",May 2019,House,4,2,2,"1,116",Gordon Davies Real Estate - DALKEITH,$950pw,Jun 2008,200
165,50 Webster Street,"$1,600,000",May 2019,House,4,2,2,"1,012",Shellabears - Cottesloe,,,
166,16B Kanimbla Road,"$722,000",May 2019,Townhouse,3,2,2,491,Abel McGrath Property Group,$580pw,Dec 2016,126
167,5B Marita Road,"$1,000,000",May 2019,House,3,2,2,445,Mint Real Estate - Claremont,,,125
168,11/1 Park Road,"$550,000",May 2019,Townhouse,1,1,1,"1,754",Hub Residential,$470pw,May 2019,
169,123 Dalkeith Road,"$800,000",May 2019,,,,,"1,012",,,,
170,13/160 Hampden Road,"$550,000",Apr 2019,Townhouse,2,2,2,"1,861",Abel McGrath Property Group - Claremont,$600pw,Oct 2014,121
171,1 Langham Street,"$1,200,000",Apr 2019,House,4,2,4,540,Shellabears - Cottesloe,$850pw,Apr 2020,213
172,34 Thomas Street,"$1,875,000",Apr 2019,House,5,3,2,"1,012",,,,359
173,53 Jenkins Avenue,"$1,350,000",Apr 2019,House,4,2,2,461,Abel McGrath Property Group - Claremont,,,
174,96 Webster Street,"$2,000,000",Apr 2019,House,4,1,2,"1,012",,"$1,100pw",May 2021,
175,20 Loch Street,"$875,000",Mar 2019,House,3,1,2,,,,,
176,58 Loch Street,"$1,490,000",Mar 2019,House,3,2,2,976,,,,191
177,5 Doonan Road,"$1,525,000",Mar 2019,House,4,2,2,461,,,,266
178,102 Monash Avenue,"$1,250,000",Mar 2019,House,4,2,4,533,Space Real Estate - Cottesloe,$680pw,Jan 2021,146
179,15 CLIFTON STREET,"$990,000",Mar 2019,House,3,1,1,456,,$575pw,Jan 2020,142
180,90 Stanley Street,"$1,860,000",Mar 2019,House,5,2,4,"1,012",Perth Lifestyle Residential - Lifestyle Is Where I,,,230
181,71 Broadway,"$1,350,000",Mar 2019,House,3,1,,551,,$695pw,Dec 2020,173
182,30B Williams Road,"$900,000",Mar 2019,House,3,2,2,342,Mint Real Estate - Claremont,,,
183,41 Weld Street,"$1,150,000",Mar 2019,House,3,2,1,697,,$825pw,Aug 2013,147
184,7 Kanimbla Road,"$1,040,000",Feb 2019,House,2,1,2,483,,,,
185,12/192 Hampden Road,"$485,000",Feb 2019,Townhouse,2,1,2,930,Kempton Azzopardi - Nedlands,$450pw,Jan 2017,101
186,16A Dalkeith Road,"$1,630,000",Jan 2019,House,4,2,2,503,DUET Property Group - Nedlands,"$1,500pw",Nov 2012,240
187,18 COOPER STREET,"$1,500,000",Dec 2018,House,4,2,2,869,Kempton Azzopardi - Nedlands,$685pw,Mar 2019,
188,24 Williams Road,"$911,000",Dec 2018,House,2,1,1,456,,,,114
189,10 Kingsway,"$2,125,000",Dec 2018,House,4,2,1,883,,"$1,400pw",Mar 2019,240
190,79 Clifton Street,"$1,000,000",Dec 2018,House,3,1,,468,,$550pw,Jul 2020,
191,98 Thomas Street,"$3,700,000",Dec 2018,House,4,4,2,"1,012",TM Residential - Dalkeith,$500pw,Jan 2010,420
192,63 Vincent Street,"$2,600,000",Dec 2018,House,5,3,2,961,Caporn Young Estate Agents - Claremont,,,425
193,61 Williams Road,"$1,250,000",Dec 2018,House,2,1,1,907,Kempton Azzopardi - Nedlands,$420pw,Feb 2019,113
194,113 Hardy Road,"$1,300,000",Dec 2018,House,3,2,4,533,Mint Real Estate - Claremont,,,
195,92 Bruce Street,"$2,250,000",Dec 2018,House,4,3,2,"1,209",Space Real Estate - Cottesloe,"$1,300pw",Jan 2019,260
196,55 Meriwa Street,"$955,000",Dec 2018,House,2,1,1,456,Kempton Azzopardi - Nedlands,$700pw,Jan 2014,122
197,27/35 Esplanade,"$1,900,000",Dec 2018,Apartment,3,2,2,294,William Porteous Properties International Pty Lt,"$1,000pw",Apr 2020,171
198,201/30 The Avenue,"$1,090,000",Nov 2018,Apartment,2,2,2,190,ACTON Dalkeith,$795pw,Dec 2018,
199,16 Tyrell Street,"$1,680,000",Nov 2018,House,4,2,3,809,,,,
200,1/1 Park Road,"$725,000",Nov 2018,Townhouse,3,2,1,147,REG RANSOM REAL ESTATE - DALKEITH,$650pw,Dec 2018,
201,78 Louise Street,"$1,650,000",Nov 2018,House,3,2,3,966,William Porteous Properties International Pty Ltd ,$500pw,Dec 2018,
202,18 Langham Street,"$1,900,000",Nov 2018,House,4,2,3,905,Hub Residential - SWANBOURNE,,,364
203,22 Louise Street,"$2,400,000",Nov 2018,House,2,1,2,"1,012",,,,330
204,8b Hardy Road,"$645,000",Nov 2018,Townhouse,3,1,1,"2,551",Kempton Azzopardi - Nedlands,,,
