,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
267,10/47 Boronia Avenue,"$530,000",Mar 2018,Townhouse,3,1,1,108,Rossen Real Estate - Nedlands,$520pw,Jan 2014,108
268,9/1 Park Road,"$560,000",Mar 2018,Townhouse,1,1,1,145,Kempton Azzopardi - Nedlands,,,90
269,41 Bulimba Road,"$1,625,000",Mar 2018,House,4,2,2,923,Kempton Azzopardi - Nedlands,$750pw,Jul 2017,255
270,110 Williams Road,"$935,000",Mar 2018,House,3,2,3,706,Abel McGrath Property Group - Claremont,,,94
271,5 Viewway,"$2,000,000",Mar 2018,House,4,2,2,883,Rossen Real Estate - Nedlands,,,
272,6 Loneragan Street,"$1,800,000",Feb 2018,House,4,3,2,397,Realmark Western Suburbs - NEDLANDS,"$1,495pw",Dec 2017,352
273,1/1 Webster Street,"$550,000",Feb 2018,,,,,225,Ian Hutchison - South Perth,,,93
274,1A Thomas Street,"$1,525,000",Feb 2018,House,5,1,4,"1,015",Abel McGrath Property Group - Claremont,,,361
275,1/59 Stirling Highway,"$537,500",Feb 2018,,,,,"1,053",Mint Real Estate - Claremont,$500pw,Sep 2014,90
276,25 Bruce Street,"$1,640,000",Feb 2018,House,4,3,2,804,Hub Residential - SWANBOURNE,$930pw,Feb 2020,209
277,89 Florence Road,"$1,950,000",Feb 2018,House,4,2,4,966,Abel McGrath Property Group - Claremont,,,
278,36 Cooper Street,"$1,660,000",Feb 2018,House,4,2,2,743,Acton - Dalkeith,"$1,250pw",Nov 2020,202
279,64 Florence Road,"$1,620,000",Feb 2018,,,,,"1,012",Abel McGrath Property Group - Claremont,,,260
280,1A Bulimba Road,"$910,000",Feb 2018,House,3,2,6,145,Shellabears - Cottesloe,$570pw,Jul 2019,134
281,83 Thomas Street,"$3,700,000",Feb 2018,House,6,3,6,"1,012",Abel McGrath Property Group - Claremont,,,
282,24 Thomas Street,"$3,000,000",Feb 2018,House,4,4,4,"1,012",Abel McGrath Property Group - Claremont,,,371
283,21 Meriwa Street,"$960,000",Feb 2018,House,2,1,2,456,Bellcourt Property Group - Dalkeith | Shenton Park,$650pw,Apr 2016,105
284,26 Webster Street,"$1,300,000",Jan 2018,House,4,2,1,675,Ray White - Dalkeith | Claremont,$900pw,Jan 2016,174
285,69 Vincent Street,"$2,000,000",Jan 2018,House,5,3,2,998,Abel McGrath Property Group - Claremont,,,
286,120 Dalkeith Road,"$1,451,000",Jan 2018,House,4,2,2,946,Caporn Young Estate Agents - Claremont,$600pw,Jan 2018,
287,5/160 Hampden Road,"$700,000",Jan 2018,,,,,"1,861",,,,84
288,51 Thomas Street,"$1,900,000",Jan 2018,House,4,2,2,"1,012",Hub Residential - SWANBOURNE,"$1,350pw",Jul 2015,
289,21 Portland Street,"$1,760,000",Jan 2018,House,5,2,6,866,Hub Residential - SWANBOURNE,,,
290,33 Hillway,"$2,250,000",Jan 2018,House,4,3,2,910,William Porteous Properties International Pty Ltd ,,,299
291,68 Vincent Street,"$2,125,000",Jan 2018,House,4,2,,"1,136",Abel McGrath Property Group - Claremont,,,
292,35 Taylor Road,"$1,400,000",Jan 2018,House,3,1,3,923,Abel McGrath Property Group - Claremont,$680pw,Nov 2011,200
293,35 Weld Street,"$1,710,000",Jan 2018,House,4,2,3,697,Ray White - Dalkeith | Claremont,,,285
294,14/51 Stirling Highway,"$420,000",Jan 2018,Townhouse,2,1,1,,Kempton Azzopardi - Nedlands,$330pw,Nov 2018,
295,74 Smyth Road,"$1,330,000",Dec 2017,House,3,2,3,909,William Porteous Properties International Pty Ltd ,$700pw,Dec 2017,909
296,12 Kanimbla Road,"$1,185,000",Dec 2017,House,3,2,2,491,Hub Residential - SWANBOURNE,$700pw,Nov 2012,
297,32 Bedford Street,"$1,956,000",Dec 2017,House,4,2,3,787,Space Real Estate - Cottesloe,"$1,525pw",Feb 2021,351
298,51 Robinson Street,"$1,370,000",Dec 2017,House,3,2,2,697,Space Real Estate - Cottesloe,$975pw,Feb 2016,
299,23/35 Esplanade,"$2,015,000",Dec 2017,,,,,333,Mint Real Estate - Claremont,,,176
