,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,Building size,rent,rent date
51,9 Throssell Street,"$1,450,000",Apr 2021,House,2,1,2,491,,113,$690pw,Apr 2021
52,193/369 Hay Street,"$351,000",Apr 2021,Apartment,1,1,1,"4,726",Josh Roberts,,$425pw,Mar 2021
53,59/154 Newcastle Street,"$450,000",Apr 2021,Apartment,,,,,,,,
54,611/112 Mounts Bay Road,"$463,610",Mar 2021,Apartment,2,1,2,"3,186",,78,,
55,11/2 Pisconeri Street,"$375,000",Mar 2021,Apartment,2,1,1,100,Dan Sharp,74,$360pw,Sep 2018
56,56 Bulwer Street,"$800,000",Mar 2021,House,2,1,2,105,Helen Bond,105,,
57,195 Pier Street,"$295,000",Mar 2021,,,,,"1,573",,584,,
58,16/8 James Street,"$330,000",Mar 2021,Apartment,2,1,1,533,Brendan Smith,,$395pw,Mar 2017
59,6/124 Mounts Bay Road,"$459,600",Mar 2021,Apartment,2,2,1,"1,405",Peter Clements,93,$600pw,Feb 2010
60,204/126 Mounts Bay Road,"$210,000",Mar 2021,Apartment,,,,,Brendon Habak,,,
61,57/33 Newcastle Street,"$448,000",Mar 2021,Apartment,2,2,1,114,Terry Lu,,$460pw,May 2020
62,17/116 Mounts Bay Road,"$350,000",Mar 2021,,,,,"1,404",,82,$400pw,Nov 2016
63,11 Lindsay Street,"$1,100,000",Mar 2021,House,3,2,2,489,Meryl Carter,,$780pw,Jan 2021
64,73/154 Newcastle Street,"$295,000",Feb 2021,Apartment,1,1,1,64,Nik Zounis,,$380pw,Jan 2016
65,2404/195 Pier Street,"$780,000",Feb 2021,Apartment,3,2,2,,,,,
66,50/154 Newcastle Street,"$295,000",Feb 2021,Apartment,,,,84,Jake Kemsley,,,
67,18/124 Mounts Bay Road,"$500,000",Feb 2021,Apartment,2,2,1,130,Sean Roberts,93,,
68,54/369 Hay Street,"$440,000",Feb 2021,Apartment,2,2,1,"4,726",Josh Roberts,77,$490pw,May 2019
69,23/59 Brewer Street,"$415,000",Feb 2021,Apartment,2,2,1,114,Peter Wildermoth,114,$470pw,Aug 2015
70,2006/1 Geoffrey Bolton Avenue,"$1,500,000",Feb 2021,Apartment,3,2,2,140,,,"$1,000pw",Apr 2020
71,52/229 Adelaide Terrace,"$335,000",Feb 2021,Apartment,1,1,1,905,James Yeoman,62,$390pw,Feb 2021
72,7/176 Newcastle Street,"$555,000",Feb 2021,Apartment,3,2,1,427,Jasmyn Wright,95,$580pw,Nov 2020
73,44/133 Lincoln Street,"$310,000",Feb 2021,,,,,"3,665",Daniel Colbert,76,$330pw,Sep 2020
74,7/2 Braid Street,"$505,000",Feb 2021,Townhouse,2,1,1,130,Beaufort Team - Pam & Jodi,93,$440pw,Jul 2011
75,7/120 Lake Street,"$375,000",Feb 2021,Apartment,2,1,1,113,,,$300pw,Oct 2018
76,22/65 Milligan Street,"$423,000",Feb 2021,Apartment,2,1,1,100,Emma Oliver,66,$625pw,Nov 2013
77,V607/9 Victoria Avenue,"$299,500",Feb 2021,Apartment,1,1,1,"2,072",Josh Roberts,,$420pw,Jan 2012
78,37/65 Palmerston Street,"$315,000",Feb 2021,Apartment,1,1,1,"5,913",Chris O'Brien,55,$300pw,Aug 2018
79,4/168 Mounts Bay Road Perth,"$920,000",Feb 2021,Apartment,3,3,2,,Carmen Tutor,,,
80,71/375 Hay Street,"$410,000",Jan 2021,Apartment,2,2,1,"1,882",Brendon Habak,82,$520pw,May 2016
81,157/15 Aberdeen Street,"$470,000",Jan 2021,Apartment,1,1,1,"3,028",Ashby Farrell,69,$480pw,Feb 2021
82,12/82 King Street,"$1,355,000",Jan 2021,,,,,258,,,,
83,V704/9 Victoria Avenue,"$310,000",Jan 2021,Apartment,1,1,1,"2,073",Josh Roberts,,$395pw,Feb 2021
84,195 Lake Street,"$860,000",Jan 2021,House,,,,268,,,,
85,60 Robinson Avenue,"$925,000",Jan 2021,Townhouse,3,3,2,,Louise Markovic,,,
86,10/20 Pendal Lane,"$390,000",Jan 2021,Apartment,2,2,1,88,Peter MacDonald,,,
87,78/418 Murray Street,"$318,000",Jan 2021,Apartment,2,1,1,70,,94,$550pw,Jan 2012
88,C/224 Lord Street,"$550,000",Jan 2021,Apartment,3,2,2,,Damien Lloyd,,$600pw,Jan 2021
89,124/138 Barrack Street,"$460,000",Jan 2021,Apartment,3,2,1,119,Brent Compton,,$500pw,Apr 2019
90,107/101 Murray Street,"$350,000",Jan 2021,Apartment,1,1,1,70,Terry Lu,,$500pw,Aug 2017
91,12 Wade Street,"$680,000",Jan 2021,Townhouse,4,2,2,152,Annie Kowal,136,$625pw,Dec 2015
92,15/229 Adelaide Terrace,"$650,000",Jan 2021,,,,,905,Chris O'Brien,96,$750pw,Jan 2021
93,15/114 Terrace Road,"$210,000",Jan 2021,,,,,"2,062",Davide Palermo,,$250pw,Sep 2016
94,U70/33 Newcastle Street,"$292,000",Jan 2021,Apartment,1,1,1,67,Terry Lu,,,
95,3/269 Stirling Street,"$329,000",Jan 2021,,,,,459,Carlos Lehn,,$300pw,Sep 2018
96,3/207 Bulwer Street,"$381,000",Jan 2021,Apartment,2,1,1,"1,215",Michelle Ralph,78,$410pw,Dec 2016
97,3/45-47 Stuart Street,"$960,000",Jan 2021,,,,,"3,494",Brendon Habak,,$850pw,May 2019
98,100/22 St Georges Terrace,"$385,000",Dec 2020,Apartment,1,1,1,"3,343",,,$500pw,Jan 2021
99,22/59 Brewer Street,"$435,000",Dec 2020,,,,,"1,742",,89,$595pw,Feb 2021
100,21/378 Beaufort Street,"$420,000",Dec 2020,House,2,2,,"3,250",,72,$400pw,Jul 2018
101,18/118 Mounts Bay Road,"$285,000",Dec 2020,,,,,"3,639",,,$415pw,Jun 2017
102,123 Glendower Street,"$975,000",Dec 2020,House,4,2,1,278,Matt Seabrook,161,,
103,22/132 Terrace Road,"$658,000",Dec 2020,Apartment,2,2,2,"5,172",,89,$680pw,May 2016
104,15a/120-122 Lake Street,"$360,000",Dec 2020,Apartment,2,1,1,110,Nik Zounis,,,
105,159/369 Hay Street,"$470,000",Dec 2020,,,,,137,,77,$675pw,Oct 2014
106,3 Brookman Street,"$895,000",Dec 2020,House,4,1,1,301,,,,
107,4/838 Hay Street,"$290,000",Dec 2020,Apartment,1,1,,63,,,$300pw,Feb 2020
108,6/10 Smith Street,"$380,000",Dec 2020,,,,,945,,,$350pw,Dec 2016
109,12/369 Hay Street,"$410,000",Dec 2020,,,,,"4,726",,75,$420pw,Oct 2016
110,167 Lake Street,"$1,825,000",Dec 2020,House,5,2,1,,,,,
111,79 Glendower Street,"$1,350,000",Dec 2020,House,3,3,1,197,,156,$800pw,Sep 2011
112,206A Bulwer Street,"$680,500",Nov 2020,House,3,2,2,236,,,$410pw,Apr 2017
113,19/34 Palmerston Street,"$650,000",Nov 2020,,,,,198,,151,$520pw,Nov 2018
114,33/369 Hay Street,"$500,000",Nov 2020,,,,,"4,726",,99,$530pw,Mar 2021
115,14 Hope Street,"$790,000",Nov 2020,House,2,1,2,409,Nadija Begovich,,,
116,2816/380 Murray Street,"$900,000",Nov 2020,Apartment,,,,,,,,
117,62/4 Bulwer Street,"$230,000",Nov 2020,,,,,"2,800",,,$310pw,Oct 2017
118,28/152 Fitzgerald Street,"$387,500",Nov 2020,Apartment,,,,,,,,
119,98/996 Hay Street,"$375,000",Nov 2020,Apartment,2,1,1,108,,73,$400pw,Oct 2018
120,5D/811 Hay Street,"$260,000",Nov 2020,Apartment,2,1,1,868,,,$520pw,Jul 2014
121,98/215 Stirling Street,"$280,000",Nov 2020,Apartment,1,1,1,,,,$350pw,Oct 2019
122,154A Lake Street,"$712,500",Nov 2020,House,3,2,2,190,,125,$595pw,Apr 2017
123,247 Lake Street,"$1,080,000",Nov 2020,House,2,2,2,,,,,
124,98/101 Murray Street,"$455,000",Nov 2020,Apartment,2,2,1,85,,,$550pw,Nov 2015
125,7/117 Lake Street,"$500,000",Nov 2020,,,,,114,,83,,
126,3/478 William Street,"$485,000",Nov 2020,Apartment,3,2,2,169,,,$520pw,Aug 2018
127,104/15 Aberdeen Street,"$409,000",Nov 2020,,,,,101,,68,$460pw,Sep 2016
128,9 Dangan Street,"$820,000",Nov 2020,House,3,2,2,357,,,,
129,86/262 Lord Street,"$530,000",Nov 2020,,,,,142,,92,$520pw,Nov 2016
130,2/128 Mounts Bay Road,"$302,000",Nov 2020,,,,,121,,87,$380pw,Sep 2020
131,28/369 Hay Street,"$410,000",Oct 2020,,,,,"4,726",,78,,
132,16/580 Hay Street,"$470,000",Oct 2020,,,,,142,,,$520pw,May 2020
133,19/124 Mounts Bay Road,"$520,000",Oct 2020,,,,,158,,,$600pw,Nov 2018
134,28 Myrtle Street,"$805,000",Oct 2020,,,,,107,,115,$550pw,May 2016
