,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,Building size,rent,rent date
273,22/226 Beaufort Street,"$295,800",Dec 2019,Apartment,1,1,1,"1,603",,,,
274,105/22 St Georges Terrace,"$630,000",Dec 2019,Apartment,2,2,1,120,,89,$620pw,Aug 2018
275,231 Lake Street,"$1,070,000",Dec 2019,House,4,1,1,617,,,$495pw,Feb 2017
276,110/15 Aberdeen Street,"$285,000",Dec 2019,Apartment,1,1,1,"3,028",,78,$330pw,Oct 2019
277,58 Bulwer Street,"$680,000",Dec 2019,House,2,1,2,296,,105,$490pw,Aug 2018
278,2502/237 Adelaide Terrace,"$1,410,000",Dec 2019,Apartment,3,2,2,"4,143",,,$950pw,Sep 2019
279,21 Brookman Street,"$660,000",Dec 2019,House,3,1,1,304,,135,$550pw,Apr 2015
280,1/63 Palmerston Street,"$821,000",Dec 2019,House,3,2,2,"3,658",Carlos Lehn,185,,
281,5 Pisconeri Street,"$850,000",Nov 2019,House,3,2,2,272,Brent Compton,185,,
282,72/171 St Georges Terrace,"$450,000",Nov 2019,Apartment,3,2,1,,Lyndon Rodgers,,,
283,54/76 Newcastle Street,"$445,000",Nov 2019,Apartment,2,2,2,"3,356",,101,$490pw,Mar 2020
284,35/229 Adelaide Terrace,"$555,000",Nov 2019,Apartment,2,2,2,149,,,$495pw,Nov 2019
285,Lot 9 45 Forbes Road,"$625,188",Nov 2019,Townhouse,3,2,2,,,,,
286,57/580 Hay Street,"$515,000",Nov 2019,,,,,156,,101,$700pw,Aug 2014
287,2A/811 HAY STREET,"$240,000",Nov 2019,Apartment,1,1,,,,,$300pw,Aug 2018
288,6/478 William Street,"$482,388",Nov 2019,Apartment,3,2,2,147,,,$520pw,Aug 2018
289,22/128 Mounts Bay Road,"$729,500",Nov 2019,Apartment,3,2,2,,,,,
290,701/9 Victoria Avenue,"$275,000",Nov 2019,Apartment,1,1,1,,,,,
291,19/8 James Street,"$275,000",Nov 2019,House,2,1,1,533,,,$370pw,Apr 2017
292,1205/237 Adelaide Terrace,"$465,000",Nov 2019,Apartment,2,2,1,,,,,
293,5/69 Murray Street,"$680,000",Nov 2019,Apartment,3,1,1,51,,165,,
294,3/122 Terrace Road,"$205,000",Nov 2019,Apartment,1,1,1,,,,$200pw,Mar 2019
295,14/120 Terrace Road,"$225,000",Nov 2019,,,,,"1,627",,,$290pw,Mar 2020
296,52/133 Lincoln Street,"$270,000",Nov 2019,,,,,"3,665",,69,$310pw,Dec 2017
297,112 Bulwer Street,"$705,000",Nov 2019,,,,,373,,,$580pw,May 2021
298,33/280 LORD Street,"$397,000",Nov 2019,Apartment,2,2,2,125,,,$490pw,Jan 2019
299,18/369 Hay Street,"$500,000",Oct 2019,Apartment,3,2,2,"4,726",Realmark Central,99,,
