,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
258,118 Carr Street,"$660,000",Jan 2019,$450pw,Jul 2020,,,,,407,,HERE Property - Leederville
259,3/147 Charles Street,"$231,000",Jan 2019,$345pw,Jun 2019,,,,,"6,268",,Jones Ballard Property Group - Como
260,16/2 Colin Street,"$375,000",Jan 2019,$450pw,Dec 2019,Apartment,2,2,1,,,Mack Hall Real Estate - Claremont
261,18/16 Kings Park Road,"$540,000",Jan 2019,,,Apartment,3,2,2,151,,Investors Edge Real Estate - Kenwick
262,8/1 Coolgardie Street,"$469,000",Jan 2019,$615pw,Apr 2021,,,,,141,87,
263,1202/659 Murray Street,"$368,000",Dec 2018,,,Apartment,1,1,1,62,,Realestate 88 East Perth
264,63/66 Cleaver Street,"$150,000",Dec 2018,$240pw,Apr 2019,Apartment,1,1,1,,,Bexleys Real Estate - Wembley
265,47 Victoria Street,"$578,000",15 Dec 2018(Auction),,,House,3,1,1,330,,Ray White City Residential (Perth)
266,1/2 Outram Street,"$400,000",Dec 2018,$450pw,Feb 2021,Apartment,2,2,1,121,79,Mack Hall Real Estate - Claremont
267,402/18 Rheola,"$390,000",Dec 2018,$595pw,Sep 2016,Apartment,2,2,1,,,
268,207/45 Malcolm Street,"$200,500",Dec 2018,$200pw,Feb 2016,,,,,,,Mark Hay - East Perth
269,17/21 Altona Street,"$550,000",Dec 2018,,,Apartment,2,2,1,,,
270,1905/659 Murray Street,"$405,000",Dec 2018,$450pw,Aug 2020,Apartment,1,1,1,,,Realestate 88 East Perth
271,10/1178 Hay Street,"$297,500",Dec 2018,$320pw,Oct 2018,Apartment,1,1,1,"3,365",,
272,177C Fitzgerald Street,"$645,000",Dec 2018,$595pw,Dec 2017,Townhouse,3,3,2,202,,Avanti Residential - Subiaco
273,66 Carr Street,"$670,000",Nov 2018,$550pw,Feb 2012,House,2,1,2,229,,The Property Exchange - Subiaco
274,2/2A Janet Street,"$568,000",Nov 2018,$500pw,Jan 2019,Townhouse,3,2,1,510,163,Peard Real Estate
275,404 Bulwer Street,"$800,000",Nov 2018,$600pw,Oct 2014,House,4,1,2,391,,Bellcourt Property Group - SOUTH PERTH
276,4/18 Bellevue Terrace,"$1,800,000",Nov 2018,"$1,150pw",Dec 2019,Apartment,3,2,2,309,309,Space Real Estate - Cottesloe
277,4/32 Carr Street,"$715,000",Nov 2018,$650pw,May 2012,Townhouse,3,2,2,"1,013",128,Mack Hall Real Estate - Claremont
278,72 Cleaver Street,"$870,000",Nov 2018,$600pw,Sep 2011,House,3,1,1,516,,Central Paragon Property - North Perth
279,2/1 Violet Street,"$620,000",Nov 2018,$450pw,Jan 2011,House,3,1,1,131,120,Tsokos Property - Subiaco
280,1805/659 Murray Street,"$395,000",Nov 2018,$485pw,Oct 2020,Apartment,1,1,1,68,,Realestate 88 East Perth
281,76/4 Delhi Street,"$675,000",Nov 2018,$750pw,Jul 2012,Apartment,3,2,2,"3,242",126,Mack Hall Real Estate - Claremont
282,18 Prospect Place,"$785,000",Nov 2018,$695pw,Feb 2015,House,3,1,,224,,The Perth Property Co. - PERTH
283,2D/63 Mount Street,"$560,000",Oct 2018,$500pw,Jan 2020,Apartment,1,2,2,115,,Harcourts City Central - PERTH
284,21/48 Havelock Street,"$410,000",Oct 2018,$370pw,Apr 2020,Apartment,2,2,1,105,82,Mack Hall Real Estate - Claremont
285,33/9 Delhi Street,"$570,000",Oct 2018,$800pw,Aug 2013,,,,,151,101,Mack Hall Real Estate - Claremont
286,1303/659 Murray Street,"$340,000",Oct 2018,,,Apartment,1,1,1,,,Realestate 88 Inner City
287,11/2 Colin Street,"$370,000",Oct 2018,$490pw,Sep 2016,Apartment,2,2,1,902,,Abode Real Estate - Cottesloe
288,66/66 Cleaver Street,"$169,000",Oct 2018,$295pw,Feb 2021,,,,,,,KPR Perth
289,15/15-19 Carr Street,"$350,000",Sep 2018,$410pw,Sep 2020,Apartment,2,2,1,,,Realmark Urban - Floreat
290,15/4 Delhi Street,"$420,000",Sep 2018,$420pw,Oct 2007,House,2,2,1,"3,242",80,Mi Casa Property Boutique
291,41/33 Malcolm Street,"$1,300,000",Sep 2018,,,Apartment,,,,201,,
292,8/35 Mount Street,"$600,000",Sep 2018,$525pw,Apr 2018,Apartment,2,2,1,120,,Mack Hall Real Estate - Claremont
293,394 Bulwer Street,"$860,000",Sep 2018,$800pw,May 2013,House,3,1,2,350,121,Bellcourt Property Group - SOUTH PERTH
294,18/863 Wellington Street,"$390,000",Sep 2018,$440pw,Jan 2021,Apartment,2,2,1,104,70,Benade Helman - Wembley
295,18/161 Charles Street,"$330,000",Sep 2018,,,Apartment,2,1,1,"2,233",,ACTON Victoria Park
296,17/33 Malcolm Street,"$606,000",Aug 2018,$520pw,Sep 2017,,,,,120,76,Caporn Young Estate Agents - Claremont
297,69/9 Delhi Street,"$635,000",Aug 2018,$575pw,Jul 2016,House,3,2,2,154,101,Mack Hall Real Estate - Claremont
298,3/28 Carr Street,"$740,000",Aug 2018,,,Townhouse,3,2,2,169,162,Mack Hall Real Estate - Claremont
299,175/659 Murray Street,"$530,000",Aug 2018,,,Apartment,2,2,1,,,DevelopWise
