,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
76,28/103 Francis Street,"$565,000",Mar 2018,$450pw,Jan 2021,Apartment,2,2,1,,,Limnios Property Group - Perth
77,79/269 James Street,"$475,000",Feb 2018,,,Apartment,2,2,1,,,Real Estate 88 - East Perth
78,88/269 James Street,"$490,000",Jan 2018,,,Apartment,2,2,1,113,,Real Estate 88 - East Perth
79,52/191 James Street,"$350,000",Jan 2018,$475pw,Mar 2020,Apartment,2,1,1,,,Real Estate 88 - East Perth
80,7/103 Francis Street,"$396,000",Jan 2018,$450pw,Jan 2021,Apartment,2,2,1,,,Limnios Property Group - Perth
81,1/89 Lake Street,"$650,000",Jan 2018,,,,,,,111,111,
82,10/43 Shenton Street,"$440,000",Dec 2017,$550pw,Mar 2015,,,,,679,116,Paragon Property - North Perth
83,36/134 Aberdeen Street,"$475,000",Dec 2017,$550pw,Jun 2018,Apartment,3,2,1,,,South Perth Realty - Kensington
84,98/269 James Street,"$495,000",Nov 2017,,,Apartment,2,2,2,129,,Real Estate 88 - East Perth
85,96/269 James Street,"$495,000",Nov 2017,$500pw,Nov 2019,Apartment,2,2,1,,,Real Estate 88 - East Perth
86,65/134 Aberdeen Street,"$480,000",Nov 2017,,,Apartment,2,2,1,134,,Abel Property - Leederville
87,6/98 Lake Street,"$407,000",Oct 2017,$380pw,Aug 2017,,,,,103,86,BOSS Real Estate - Northbridge
88,87/269 James Street,"$490,000",Oct 2017,,,Apartment,2,2,1,122,122,Real Estate 88 - East Perth
89,93/269 James Street,"$545,000",Oct 2017,$500pw,Nov 2019,Apartment,2,2,1,,,Real Estate 88 - East Perth
90,5/255 Newcastle Street,"$430,000",Oct 2017,$450pw,Sep 2016,House,2,2,1,523,90,BOSS Real Estate - Northbridge
91,10/269 James Street,"$479,000",Sep 2017,,,Apartment,2,2,1,112,,Real Estate 88 - East Perth
92,25 Little Shenton Lane,"$350,000",Sep 2017,$500pw,Jul 2020,,,,,"1,653",157,
93,37 John Street,"$630,000",Sep 2017,$475pw,Jul 2019,House,3,2,2,188,117,Limnios Property Group - Perth
94,6 Kakulas Crescent,"$1,150,000",Aug 2017,,,House,4,5,2,246,352,Acton - Mount Lawley
95,18/269 James Street,"$410,000",Aug 2017,$380pw,Dec 2017,Apartment,1,1,1,,53,Realestate 88 East Perth
96,29/103 Francis Street,"$450,000",Jul 2017,$530pw,Apr 2015,Apartment,2,1,1,,,Limnios Property Group - Perth
97,31 John Street,"$540,000",Jul 2017,,,Townhouse,2,1,1,161,104,Bourkes - South Perth
98,2/1 Shenton Street,"$370,000",Jul 2017,$350pw,Sep 2017,,,,,111,87,@realty
99,15/5 Antonas Road,"$455,000",Jul 2017,$450pw,Mar 2020,Townhouse,2,2,1,124,98,Realmark Central
100,8/9 Shenton Street,"$529,000",Jun 2017,$550pw,Oct 2015,,,,,134,108,Abel Property - Leederville
101,8/154 Aberdeen Street,"$690,000",Jun 2017,$720pw,Aug 2011,Apartment,3,2,1,702,106,Real Estate 88 - East Perth
102,80/269 James Street,"$530,000",May 2017,,,Apartment,2,2,1,,,Real Estate 88 - East Perth
103,5/7 Shenton Street,"$376,000",May 2017,$435pw,Mar 2016,Apartment,2,1,1,"1,477",84,ZSA ZSA Property - PERTH
104,31/260 Newcastle Street,"$550,000",May 2017,,,Apartment,3,2,2,,,BOSS Real Estate - Northbridge
105,67 Lake Street,"$4,840,000",May 2017,,,,,,,167,500,
106,65 Lake Street,"$4,840,000",May 2017,,,,,,,167,500,
107,56/89 Aberdeen Street,"$400,000",Apr 2017,,,Apartment,1,1,1,,,Baltinas - NORTHBRIDGE
108,6/60 Fitzgerald Street,"$370,000",Apr 2017,$390pw,Oct 2015,Apartment,2,1,1,"2,156",84,NTY Property Group Maylands
109,19/98 Lake Street,"$415,000",Apr 2017,$520pw,Jul 2015,,,,,103,86,BOSS Real Estate - Northbridge
110,21/103 Francis Street,"$582,500",Mar 2017,$580pw,Aug 2015,House,2,2,1,103,,Limnios Property Group - Perth
111,12/335 Newcastle Street,"$280,000",Mar 2017,$330pw,Sep 2016,Apartment,1,1,1,627,61,Bourkes - South Perth
112,58/89 Aberdeen Street,"$1,100,000",Mar 2017,$410pw,Sep 2019,Apartment,2,2,1,,,
113,55/89 Aberdeen Street,"$1,100,000",Mar 2017,$400pw,Nov 2018,Apartment,2,2,1,,,
114,39/89 Aberdeen Street,"$1,100,000",Mar 2017,$445pw,May 2018,Apartment,2,2,1,,,
115,185-187 William Street,"$5,200,000",Mar 2017,,,,,,,620,501,JLL - Perth
116,9/98 Lake Street,"$410,000",Mar 2017,$520pw,Jan 2017,,,,,103,103,BOSS Real Estate - Northbridge
117,9/101 Francis Street,"$693,000",Feb 2017,,,,,,,188,142,
118,4/20 Pendal Lane,"$486,000",Feb 2017,$700pw,Jul 2013,Apartment,3,2,1,130,99,BOSS Real Estate - Northbridge
119,109/269 James Street,"$410,000",Feb 2017,,,Apartment,1,1,1,,82,Real Estate 88 - East Perth
120,70/269 James Street,"$545,000",Feb 2017,,,Apartment,2,2,1,,,Real Estate 88 - East Perth
121,11/5 Antonas Road,"$346,000",Feb 2017,$390pw,Apr 2016,Apartment,1,1,1,"1,187",67,Avenue One Property Group - Perth
122,59/228 James Street,"$150,000",Feb 2017,,,,,,,,,
123,405/403 Newcastle Street,"$395,000",Jan 2017,$550pw,May 2013,,,,,"1,210",72,Real Estate 88 - East Perth
124,73/269 James Street,"$390,000",Jan 2017,,,Apartment,1,1,1,,,Real Estate 88 - East Perth
125,2/134-138 Aberdeen Street,"$435,000",Jan 2017,$520pw,Feb 2012,,,,,135,91,
126,2/134 Aberdeen Street,"$435,000",Jan 2017,$450pw,Dec 2020,Apartment,2,2,1,"4,520",91,NTY Property Group Maylands
127,408/403 Newcastle Street,"$355,000",Dec 2016,$430pw,Jun 2019,Apartment,2,2,1,"1,212",,Vlahos Realty
128,10/182 James Street,"$375,000",Dec 2016,$380pw,Dec 2020,Apartment,2,1,1,531,67,Abel McGrath the Property People - Leederville
129,92/269 James Street,"$570,000",Dec 2016,,,Apartment,2,2,1,116,82,Real Estate 88 - East Perth
130,8/269 James Street,"$535,000",Nov 2016,$480pw,Oct 2019,Apartment,2,2,1,,,Real Estate 88 - East Perth
131,28/134 Aberdeen Street,"$505,000",Nov 2016,$385pw,Jun 2020,Apartment,2,2,1,,,Realmark Central
132,2/52 Fitzgerald Street,"$435,000",Nov 2016,$525pw,Mar 2015,Apartment,2,1,1,"2,156",124,Tyler & Sons - Perth
133,203/403 Newcastle Street,"$375,000",Oct 2016,,,Apartment,1,2,1,"1,209",70,Blackburne Residential Property - WA Blackburne Re
134,12 Little Shenton Lane,"$538,000",Sep 2016,$420pw,Oct 2016,House,2,1,2,"1,477",,Martino Property Group
135,311/403 Newcastle Street,"$370,000",24 Sep 2016(Auction),$450pw,Apr 2016,Apartment,2,2,1,"1,210",74,Grange Realty Group - Victoria Park
136,5/220 James Street,"$370,000",Sep 2016,$420pw,Sep 2016,Apartment,2,1,1,104,82,Realmark Central - East Perth
137,22/191 James Street,"$330,000",Sep 2016,$400pw,Mar 2021,Apartment,2,1,1,"1,797",68,Ray White South Perth
138,17/103 Francis Street,"$470,000",Sep 2016,$550pw,May 2015,Apartment,2,2,1,,,Limnios Property Group - Perth
139,62/269 JAMES Street,"$520,000",Sep 2016,,,,,,,115,,
140,28/250 Beaufort Street,"$444,000",Aug 2016,,,,,,,,,Airey Real Estate - CLAREMONT
141,18/103 Francis Street,"$465,000",Aug 2016,$395pw,Sep 2019,Apartment,2,2,1,,,Limnios Property Group - Perth
142,53/269 JAMES Street,"$510,000",Aug 2016,$450pw,Nov 2017,Apartment,2,2,1,120,,
143,1/134 Aberdeen Street,"$482,500",Jul 2016,$395pw,Aug 2017,Apartment,2,2,1,"4,520",91,NTY Property Group Maylands
144,61/269 JAMES Street,"$520,000",Jul 2016,,,,,,,112,,
145,307/403 Newcastle Street,"$410,000",Jun 2016,,,Apartment,2,2,1,"1,209",72,The Property Exchange - Subiaco
146,283 William Street,"$3,400,000",Jun 2016,,,,,,,942,,
147,43/269 James Street,"$575,000",May 2016,$550pw,Feb 2018,Apartment,2,2,1,117,,Real Estate 88 - East Perth
148,269 James Street,"$550,000",May 2016,$550pw,Jan 2017,Apartment,2,2,1,554,540,Colliers International - PERTH
149,52/269 James Street,"$540,375",May 2016,,,Apartment,2,2,1,,,Real Estate 88 - East Perth
150,100 Lake Street,"$1,550,000",Apr 2016,,,,,,,417,288,
151,10/103 Francis Street,"$353,000",Mar 2016,$400pw,Mar 2021,Apartment,1,1,1,,,Limnios Property Group - Perth
152,134 Roe Street,"$5,225,000",Mar 2016,,,,,,,"1,208",1161,Burgess Rawson - Perth
153,8/134 Aberdeen Street,"$495,000",Mar 2016,$550pw,Apr 2015,Apartment,2,2,1,"4,520",95,Beaufort Realty - Mount Lawley
154,115/269 James Street,"$616,000",Mar 2016,$550pw,Sep 2016,Apartment,2,2,2,80,80,Real Estate 88 - East Perth
155,19 Palmerston Street,"$1,250,000",Feb 2016,"$1,500pw",Nov 2010,House,4,4,2,243,,Raine & Horne - North Perth
156,44/89 Aberdeen Street,"$410,000",Feb 2016,$400pw,Oct 2018,Apartment,1,1,1,,,
157,43/134 Aberdeen Street,"$480,000",Feb 2016,$440pw,May 2016,Apartment,2,2,1,123,123,BOSS Real Estate - Northbridge
158,8/134-138 Aberdeen Street,"$495,000",Jan 2016,$550pw,Apr 2015,House,2,2,1,"4,520",95,
159,3/5 Antonas Road,"$287,810",Jan 2016,,,Apartment,1,1,1,"1,187",60,Realmark Central - East Perth
160,5/45 Shenton Street,"$575,000",Jan 2016,$545pw,Aug 2019,Apartment,3,3,1,156,134,Sell Lease Property
161,43/228 James Street,"$275,000",Dec 2015,$320pw,Sep 2016,Apartment,1,1,1,"2,519",51,Paragon Property - North Perth
162,12/89 Lake Street,"$500,000",Dec 2015,$480pw,Jan 2019,Apartment,2,2,1,119,119,BOSS Real Estate - Northbridge
163,51/269 James Street,"$550,000",Dec 2015,,,Apartment,2,2,1,,,Real Estate 88 - East Perth
164,57/191 James Street,"$435,000",Nov 2015,,,Apartment,2,1,1,100,100,Sell Lease Property
165,4/48 Fitzgerald Street,"$418,000",Nov 2015,$380pw,Dec 2019,Apartment,2,2,1,"2,156",89,Realmark Central - East Perth
166,41/269 James Street,"$545,000",Nov 2015,,,Apartment,2,2,1,,,Colliers International - PERTH
167,4/9 Shenton Street,"$410,000",Oct 2015,$460pw,Jul 2015,Apartment,2,1,1,"1,477",82,NTY Property Group - East Perth
168,2/164 Aberdeen Street,"$589,000",Oct 2015,,,Apartment,2,2,2,115,115,BOSS Real Estate - Northbridge
169,120 Aberdeen Street,"$275,000",Oct 2015,,,,,,,513,148,
170,310/403 Newcastle Street,"$465,000",Oct 2015,$550pw,Sep 2015,Apartment,2,2,1,"1,210",70,Realmark Central - East Perth
171,6/134 Aberdeen Street,"$490,000",Sep 2015,$600pw,Sep 2014,Apartment,2,2,1,"4,520",136,Mark Hay - East Perth
172,100/269 James Street,"$435,000",Sep 2015,$360pw,Sep 2016,Apartment,1,1,1,,52,Real Estate 88 - East Perth
173,6/134-138 Aberdeen Street,"$490,000",Aug 2015,$550pw,Oct 2014,,,,,"4,520",,
174,1/50 Fitzgerald Street,"$432,000",Aug 2015,$420pw,Jul 2015,Apartment,2,1,1,124,124,Mark Hay - East Perth
175,45 Francis Street,"$101,000,000",Aug 2015,,,,,,,"6,767",340,
176,8 Parker Street,"$1,100,000",Aug 2015,,,House,,,,311,,
177,17/98 Lake Street,"$525,000",Aug 2015,$550pw,Apr 2011,Apartment,3,2,1,150,109,Realmark Central - East Perth
178,11/103 Francis Street,"$515,000",Jul 2015,$550pw,May 2015,Apartment,2,2,1,,,Limnios Property Group - Perth
179,11/103-105 Francis Street,"$515,000",Jul 2015,$550pw,Jun 2015,,,,,"1,106",,
180,3/103-105 Francis Street,"$510,000",Jul 2015,$530pw,Jul 2015,,,,,"1,106",,
181,2/17 Shenton Street,"$480,000",Jul 2015,$430pw,Mar 2020,,,,,113,89,
182,42/269 JAMES Street,"$540,000",Jul 2015,,,,,,,116,,
183,34/191 James Street,"$438,000",Jun 2015,$420pw,Apr 2016,Apartment,2,1,1,"1,797",88,Beaufort Realty - Mount Lawley
184,114/269 JAMES Street,"$652,500",Jun 2015,,,,,,,132,,
185,64/269 James Street,"$440,000",Jun 2015,,,Apartment,1,1,1,,52,Real Estate 88 - East Perth
186,104 Aberdeen Street,"$1,630,000",Jun 2015,,,,,,,460,253,
187,22/134 Aberdeen Street,"$480,000",Jun 2015,$450pw,Aug 2020,Apartment,2,2,1,"4,520",,Realmark - Applecross
188,5 John Street,"$608,000",Jun 2015,$540pw,Nov 2014,House,2,1,1,"2,048",104,Abel McGrath the Property People - Leederville
189,48 Lake Street,"$1,870,000",May 2015,"$109,000pw",Sep 2015,,,,,567,376,
190,30/269 JAMES Street,"$555,000",May 2015,$550pw,Jul 2016,Apartment,2,2,1,116,,
191,132 Aberdeen Street,"$980,000",May 2015,,,House,5,2,2,257,250,
192,26/134 Aberdeen Street,"$522,000",May 2015,$430pw,May 2020,Apartment,2,2,1,"4,520",,Limnios Property Group - Perth
193,22/134-138 ABERDEEN Street,"$480,000",May 2015,$470pw,Jan 2012,,,,,122,,
194,29/269 James Street,"$550,000",Apr 2015,,,Apartment,2,2,1,,80,Real Estate 88 - East Perth
195,116/269 JAMES Street,"$652,500",Apr 2015,$470pw,Apr 2020,Apartment,2,2,2,128,,
196,39/269 James Street,"$400,000",Apr 2015,$420pw,Mar 2021,Apartment,1,1,1,,53,Colliers International - Perth
197,100 Aberdeen Street,"$1,500,000",Mar 2015,,,,,,,575,,
198,44/269 James Street,"$430,000",Feb 2015,$365pw,Apr 2019,Apartment,1,1,1,,,Real Estate 88 - East Perth
199,54/154 Newcastle Street,"$525,000",Feb 2015,,,Apartment,2,2,1,,,Nicheliving Real Estate - Perth
200,7/2 Davies Street,"$542,000",Feb 2015,$500pw,Jan 2017,Apartment,2,2,1,501,91,Abel McGrath the Property People - Leederville
201,6/7 Shenton Street,"$510,000",Feb 2015,$450pw,Nov 2020,Apartment,2,1,1,"1,477",110,Abel McGrath the Property People - Leederville
