,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
253,1/219 Newcastle Street,"$790,000",Feb 2014,,,,,,,254,158,
254,223 Newcastle Street,"$645,000",Feb 2014,$380pw,May 2017,House,2,1,1,582,113,Limnios Property Group - Perth
255,219 Newcastle Street,"$790,000",Feb 2014,,,House,3,2,2,582,158,Limnios Property Group - Perth
256,221 Newcastle Street,"$640,000",Feb 2014,$450pw,Apr 2011,House,2,1,1,582,108,Limnios Property Group - Perth
257,206/403 Newcastle Street,"$510,000",Feb 2014,$390pw,Apr 2019,Apartment,2,2,1,"1,209",,Northside Residential - Greenwood
258,13/182 James Street,"$490,000",Feb 2014,,,Apartment,2,1,,199,67,
259,7/89 Lake Street,"$575,000",Jan 2014,$630pw,May 2013,Apartment,3,2,1,914,106,Abel McGrath the Property People - Leederville
260,402/403 Newcastle Street,"$515,000",Jan 2014,$410pw,Jul 2019,Apartment,2,2,1,"1,212",99,Mair and Co
261,53/239 Pier Street,"$393,000",Jan 2014,,,Apartment,1,1,1,,,Realmark Central - East Perth
262,3/62 Fitzgerald Street,"$360,250",Jan 2014,,,,,,,83,69,
263,10/5 Antonas Road,"$440,000",Jan 2014,,,House,1,1,,"1,187",67,Capital First National - Alexander Heights
264,30/403 Newcastle Street,"$509,000",2014,,,,,,,"1,210",,
265,7/48 Fitzgerald Street,"$475,000",2014,$450pw,Mar 2011,,,,,"2,156",89,
266,21 Little Shenton L,"$785,000",Dec 2013,,,Townhouse,3,2,2,"1,653",,Nicheliving Real Estate - Perth
267,3/226 James Street,"$420,000",Dec 2013,$320pw,Dec 2018,Apartment,1,1,1,89,72,MLG Realty - EAST PERTH
268,90 Aberdeen Street,"$5,000,000",Dec 2013,,,,,,,468,143,
269,84 Aberdeen Street,"$5,000,000",Dec 2013,,,,,,,"1,879",,
270,3/154 Aberdeen Street,"$467,500",Nov 2013,,,Apartment,1,1,1,702,58,Abel McGrath the Property People - Leederville
271,59/89 Aberdeen Street,"$630,000",Nov 2013,$550pw,Mar 2020,Apartment,2,2,1,,,
272,51/89 Aberdeen Street,"$620,000",Nov 2013,$400pw,Dec 2020,Apartment,2,2,1,,,Velo - Northbridge
273,51 89 Aberdeen Street,"$620,000",Nov 2013,,,,,,,,,
274,23 Fitzgerald Street,"$6,000,000",Nov 2013,,,,,,,461,,
275,21 Fitzgerald Street,"$6,000,000",Nov 2013,,,,,,,367,,
276,19 Fitzgerald Street,"$6,000,000",Nov 2013,,,,,,,367,,
277,15 Fitzgerald Street,"$6,000,000",Nov 2013,,,,,,,368,499,
278,17/134 Aberdeen Street,"$540,000",Nov 2013,$400pw,Jul 2017,Apartment,2,2,1,"4,520",88,NTY Property Group - East Perth
279,309/403 Newcastle Street,"$510,000",Nov 2013,$390pw,Apr 2018,Apartment,2,2,1,"1,209",72,Abel McGrath the Property People - Leederville
280,1/1 Shenton Street,"$1,325,000",Nov 2013,,,,,,,308,293,
281,4/89 Aberdeen Street,"$595,000",Oct 2013,$395pw,Jun 2019,Apartment,2,2,1,,,
282,5/19 Little Shenton L,"$615,000",Oct 2013,,,,,,,"1,563",,LJ Hooker - Mirrabooka
283,2/19 Little Shenton Lane,"$480,000",Oct 2013,$395pw,May 2020,Apartment,2,1,2,155,,Limnios Property Group - Perth
284,5/19 Little Shenton Lane,"$615,000",Oct 2013,,,,,,,"1,563",,LJ Hooker - Mirrabooka
285,15/145 Newcastle Street,"$630,000",Oct 2013,,,Apartment,3,2,1,,,Realmark Central - East Perth
286,7 Davies Street,"$1,025,000",Sep 2013,,,House,3,2,2,255,227,Abel McGrath the Property People - Leederville
287,38/89 Aberdeen Street,"$515,000",Sep 2013,$370pw,Oct 2018,Apartment,2,1,1,,,
288,20/10 Pendal Lane,"$565,000",Sep 2013,,,Apartment,2,2,2,126,891,MLG Realty - EAST PERTH
289,403/403 Newcastle Street,"$535,000",Aug 2013,$380pw,Jun 2019,Apartment,2,2,1,"1,209",,Realmark Central - East Perth
290,312/403 Newcastle Street,"$502,500",Aug 2013,$560pw,Oct 2013,Apartment,2,2,1,"1,209",,Realmark Central - East Perth
291,40/10 PENDAL LANE,"$590,000",Aug 2013,$780pw,Jan 2013,Apartment,2,2,2,130,,MLG Realty - EAST PERTH
292,89 Aberdeen Street,"$3,450,000",Aug 2013,$450pw,Jul 2018,,,,,"1,064",134,
293,25/20 Pendal Lane,"$724,999",Jul 2013,$590pw,Feb 2018,Townhouse,3,2,2,,,For Sale By Owner Australia
294,21/145 Newcastle Street,"$614,000",Jul 2013,,,Apartment,3,2,1,,,Realmark Central - East Perth
295,18/76 Newcastle Street,"$535,000",Jul 2013,$530pw,Jan 2014,Apartment,2,2,1,,,Abel Property - Leederville
296,2/226 James Street,"$600,000",Jul 2013,,,,,,,96,70,
297,1/226 James Street,"$600,000",Jul 2013,,,,,,,84,70,
298,10/89 Lake Street,"$590,000",Jun 2013,$540pw,Nov 2011,Apartment,3,2,1,914,122,BOSS Real Estate - Northbridge
299,13/10 Pendal Lane,"$560,000",Jun 2013,,,Apartment,2,2,1,117,100,MLG Realty - EAST PERTH
