,address,price,sold date,type,bedrooms,bathrooms,car space,agent,rent,rent date,Land size,Building size
58,3/159 Fairway,"$265,000",Nov 2018,Apartment,1,1,,Shellabears - Cottesloe,$250pw,Dec 2016,"1,608",
59,46/3 Park Avenue,"$1,470,000",Oct 2018,House,3,2,2,TM Residential - Dalkeith,,,175,175
60,1A Park Avenue,"$2,215,000",Sep 2018,House,4,3,3,Perth Lifestyle Residential - Lifestyle Is Where I,"$2,200pw",Nov 2015,187,
61,3/20 Mounts Bay Road,"$920,000",Aug 2018,Apartment,3,1,2,Wallace Real Estate - Claremont,$560pw,Apr 2021,"1,538",135
62,11/159 Fairway,"$215,000",Aug 2018,,,,,Bexleys Real Estate - Wembley,$250pw,Jun 2018,"1,608",
63,10/22 The Avenue,"$1,050,000",Jul 2018,,,,,Bellcourt Property Group - Dalkeith | Shenton Park,$750pw,Jul 2020,142,142
64,1/48 Broadway,"$515,000",Jul 2018,Apartment,3,2,2,Renouf Real Estate - Swanbourne,$485pw,Mar 2015,,
65,9/149 Fairway,"$362,100",Jul 2018,,,,,Mack Hall Real Estate - Claremont,$390pw,Dec 2020,846,74
66,4/4 Crawley Avenue,"$482,000",Jun 2018,Apartment,3,1,1,Airey Real Estate - CLAREMONT,$400pw,May 2020,"3,843",
67,31 Parkway,"$815,000",Apr 2018,House,3,1,2,Hub Residential - SWANBOURNE,$650pw,Jan 2021,233,117
68,23A Everett Street,"$950,000",Mar 2018,Townhouse,3,3,2,Knight Frank - Perth,,,156,145
69,6/44 Broadway,"$545,000",Mar 2018,Apartment,2,1,3,Gordon Davies Real Estate - DALKEITH,,,123,77
70,40 Everett Street,"$815,000",Mar 2018,House,3,1,,,,,253,117
71,41/3 Park Avenue,"$1,220,000",Feb 2018,Apartment,3,2,2,Perth Lifestyle Residential - Lifestyle Is Where I,,,246,
72,4W/16 Kings Park Avenue,"$929,000",Feb 2018,Apartment,3,2,2,Perth Lifestyle Residential - Lifestyle Is Where I,,,190,
73,123 Fairway,"$818,000",Feb 2018,House,4,1,,,,,160,150
74,4/124 Broadway,"$350,000",Feb 2018,,,,,Collective Property Group WA - COTTESLOE,$375pw,Nov 2019,883,
75,8/19 Princess Road,"$295,000",Jan 2018,,,,,Shellabears - Cottesloe,$325pw,Aug 2014,,
76,2/19 Princess Road,"$300,000",Jan 2018,,,,,Shellabears - Cottesloe,$270pw,Oct 2017,,
77,5/19 Princess Road,"$307,500",Jan 2018,,,,,,$375pw,Mar 2018,50,50
78,17/3 Park Avenue,"$1,640,000",Jan 2018,,,,,,,,175,175
79,5/10 Kings Park Avenue,"$1,700,000",Dec 2017,,,,,,,,274,187
80,1/151 Fairway,"$490,000",Dec 2017,,,,,Shellabears - Cottesloe,$525pw,Sep 2015,,
81,2/224 Hampden Road,"$660,000",13 Dec 2017(Auction),Townhouse,2,2,2,Realmark Central,$525pw,Feb 2020,69,76
82,15W/16 Kings Park Avenue,"$1,410,000",Dec 2017,Apartment,3,2,2,Perth Lifestyle Residential - Lifestyle Is Where I,,,190,190
83,6/60 Broadway,"$500,000",Nov 2017,Apartment,2,1,1,Rossen Real Estate - Nedlands,$420pw,Aug 2018,114,74
84,82/4 Crawley Avenue,"$840,000",Nov 2017,,,,,LJ Hooker - Dalkeith | Claremont,,,"3,843",
85,16C Princess Road,"$607,000",Nov 2017,Townhouse,2,2,1,Acton - Dalkeith,$600pw,Jun 2019,,
86,25 70-72 Broadway,"$337,500",Nov 2017,,,,,Residential West,,,,
87,6/10 The Avenue,"$850,000",Nov 2017,,,,,Collective Property Group WA - COTTESLOE,,,105,105
