,address,price,sold date,type,bedrooms,bathrooms,car space,agent,rent,rent date,Land size,Building size
240,2/115 Fairway,"$350,000",Sep 2014,Townhouse,3,1,2,,$575pw,Feb 2018,102,108
241,8/22 The Avenue,"$1,050,000",Sep 2014,,,,,,"$1,000pw",Oct 2017,257,257
242,6/42 Broadway,"$425,000",Sep 2014,,,,,Residential West,,,"1,096",
243,3/5 Clark Street,"$650,000",Sep 2014,Townhouse,3,1,1,,$600pw,Sep 2014,"1,425",111
244,11/22 The Avenue,"$1,465,000",Sep 2014,,,,,,,,165,165
245,28/3 Park Avenue,"$1,385,000",Aug 2014,Apartment,3,2,2,Shellabears - Cottesloe,"$1,100pw",May 2013,"6,576",19
246,18/17 The Avenue,"$345,000",Aug 2014,House,1,1,1,,$295pw,Jul 2018,"2,866",
247,7/16 Caporn Street,"$562,000",Aug 2014,,,,,Acton - Dalkeith,,,"2,049",72
248,26/70-72 Broadway,"$299,000",Aug 2014,,,,,Ray White - Bursmac & Associates,$360pw,Nov 2015,"1,765",
249,32/5 Park Avenue,"$810,000",Aug 2014,Apartment,3,2,2,Mack Hall Real Estate - Claremont,$625pw,Sep 2013,"4,918",125
250,125 Fairway,"$1,512,500",Jul 2014,House,4,2,4,Growth Realty,$525pw,Jun 2020,607,
251,26/70 Broadway,"$299,000",Jul 2014,,,,,Ray White - Bursmac & Associates,,,"1,765",
252,87 Fairway,"$1,500,000",Jul 2014,House,3,1,,,,,607,
253,2/10 Kings Park Avenue,"$1,550,000",Jun 2014,Apartment,3,2,2,The Property Exchange - Subiaco,,,272,185
254,2/228 Hampden Road,"$650,000",Jun 2014,Townhouse,1,1,1,ABODE REAL ESTATE - COTTESLOE,$415pw,Feb 2021,481,96
255,1/114 Broadway,"$380,000",Jun 2014,Apartment,2,1,1,Bexleys Real Estate - Wembley,$460pw,Feb 2012,67,
256,2/20 Princess Road,"$642,000",Jun 2014,Townhouse,2,1,1,Paxton Hoad - Subiaco,$485pw,Nov 2020,85,79
257,22 Cook Street,"$1,910,000",24 May 2014(Auction),House,3,3,2,Shellabear's - Cottesloe,,,683,358
258,3/7 Wingfield Avenue,"$1,360,000",May 2014,House,4,2,2,Mack Hall Real Estate - Claremont,$800pw,Sep 2019,"1,168",161
259,13/8 Wingfield Avenue,"$815,000",May 2014,,,,,,$585pw,Apr 2017,143,138
260,"4/2,4 Crawley Avenue","$845,000",Apr 2014,Apartment,2,2,2,Acton - Dalkeith,,,,
261,6/25 The Avenue,"$480,000",Apr 2014,,,,,,$310pw,Aug 2018,64,
262,15/17 The Avenue,"$338,000",Mar 2014,,,,,,$280pw,Mar 2009,"2,866",
263,6/159 Fairway,"$352,000",Mar 2014,,,,,Real Estate Express with Andy Brown - Mount Pleasa,$340pw,Feb 2017,"1,608",
264,99L Fairway,"$625,000",Mar 2014,House,2,,,,,,,
265,99 Fairway,"$625,000",Mar 2014,House,2,1,2,Realmark Western Suburbs - NEDLANDS,$425pw,Nov 2009,150,97
266,101 Fairway,"$625,000",Mar 2014,House,2,1,2,Realmark Western Suburbs - NEDLANDS,$400pw,Dec 2020,152,97
267,101L Fairway,"$625,000",Mar 2014,Townhouse,2,1,1,,,,,97
268,2/3 Park Avenue,"$760,000",Mar 2014,Apartment,2,1,2,Mack Hall Real Estate - Claremont,$500pw,May 2017,"6,576",107
269,16/25 The Avenue,"$435,000",Mar 2014,,,,,,$460pw,Apr 2016,"1,850",72
270,3/16 Caporn Street,"$545,000",Mar 2014,House,2,1,1,Acton Cottesloe - Peppermint Grove,$320pw,Sep 2019,"2,049",73
271,4/20 Park Road,by,under 2 Weeks** Location & Lifestyle... Tucked away ,Townhouse,2,1,1,Peard Real Estate Leederville - Leederville & Moun,$475pw,Nov 2010,948,86
272,8/15 Cook Street,"$740,000",Feb 2014,,,,,,$450pw,Apr 2010,110,109
273,9/10 The Avenue,"$1,160,000",Feb 2014,Apartment,2,1,2,Shellabears Real Estate,,,"3,251",105
274,1/24 Caporn Street,"$610,000",Feb 2014,,,,,,$430pw,Dec 2011,85,84
275,4/22 Mounts Bay Road,"$2,475,000",Feb 2014,Apartment,3,2,2,Mack Hall Real Estate - Claremont,,,306,217
276,145 Fairway,"$970,000",Feb 2014,House,3,2,2,Caporn Young Real Estate,$800pw,Mar 2013,198,125
277,11/17 The Avenue,"$398,000",Feb 2014,,,,,,,,"2,866",
278,18 Cook Street,"$1,000,000",Jan 2014,House,3,1,2,Bellcourt Property Group - SHENTON PARK,,,683,157
279,6/8 Mounts Bay Road,"$2,725,000",Jan 2014,Apartment,3,3,2,Ethos Property - HIGHGATE,,,290,181
280,35/3 Park Avenue,"$1,230,000",Jan 2014,Apartment,3,1,,,,,175,175
281,4/42 Broadway,"$495,000",Dec 2013,,,,,MAS Real Estate - Nedlands,$475pw,Apr 2013,"1,096",85
282,14/8 Wingfield Avenue,"$998,000",Dec 2013,Apartment,3,2,2,Acton - Dalkeith,,,"2,533",144
283,2/168 Broadway,"$625,000",Dec 2013,Apartment,2,1,1,Acton North - CITY BEACH,$525pw,May 2013,"1,414",65
284,24/159 Fairway,"$330,000",Dec 2013,,,,,,$260pw,Feb 2020,"1,610",
285,51/4 Crawley Avenue,"$1,050,000",Nov 2013,Apartment,3,2,2,,,,202,206
286,9/131 Fairway,"$627,000",Nov 2013,Townhouse,2,2,,,,,129,129
287,1/14 Park Road,"$625,000",Oct 2013,Townhouse,3,1,1,Kempton Azzopardi - Nedlands,$400pw,Nov 2008,97,
288,29L Parkway,"$803,000",Oct 2013,House,3,,,,,,,
289,27 Parkway,"$803,000",Oct 2013,House,3,1,1,Kempton Azzopardi - Nedlands,$475pw,Oct 2020,304,104
290,53/3 Park Avenue,"$1,340,000",Oct 2013,,,,,Property Selection Realty - North Perth,$875pw,Sep 2017,"6,576",175
291,2/20 Park Road,"$852,500",Oct 2013,Townhouse,3,2,2,Realmark Central - East Perth,$600pw,Mar 2021,948,116
292,6/6 Mounts Bay Road,"$2,725,000",Oct 2013,,,,,,,,"2,453",
293,1/1 Kings Park Avenue,"$1,050,000",Sep 2013,Apartment,3,2,2,Anderson Davies Real Estate - Dalkeith,$700pw,May 2017,"2,111",178
294,101/4 Crawley Avenue,"$1,400,000",Sep 2013,Apartment,3,2,2,,,,202,206
295,2/136A Broadway,"$399,000",Sep 2013,Apartment,1,1,1,Shellabears Real Estate,$270pw,Jul 2020,846,
296,17/159 Fairway,"$300,000",Sep 2013,,,,,,$275pw,Aug 2018,"1,610",
297,10/68 Broadway,"$381,000",Aug 2013,,,,,MAS Real Estate - Nedlands,$270pw,Sep 2020,883,
298,3/14 The Avenue,"$2,300,000",Aug 2013,Apartment,3,2,4,Space Real Estate - Cottesloe,"$1,500pw",Nov 2017,"1,867",255
299,25/4 Crawley Avenue,"$2,300,000",Aug 2013,,,,,,,,"3,843",360
